Title,Publisher
A Boy and His Blob Retro Collection,Ziggurat
A Time Traveller's Guide To Past Delicacies,Sometimes You
Abyss Memory Fallen Angel and the Path of Magic,Byking
 Aeterna Noctis,Aeternum Game Studios 
 Another Crab's Treasure,Aggro Crab Games 
 Arcade Archives ASSAULT,HAMSTER 
 Arcade Archives Burger Time,HAMSTER 
 Arcade Archives Chack'n Pop,HAMSTER 
 Arcade Archives CRIME CITY,HAMSTER 
 Arcade Archives DRAGON SPIRIT,HAMSTER 
 Arcade Archives DRAGON SABER,HAMSTER 
 Arcade Archives EMPIRE CITY: 1931,HAMSTER 
 Arcade Archives FLIPULL,HAMSTER 
 Arcade Archives DIG DUG,HAMSTER 
 Arcade Archives GALAXIAN,HAMSTER 
 Arcade Archives GRADIUS III,HAMSTER 
 Arcade Archives METROCROSS,HAMSTER 
 Arcade Archives NEW RALLY-X,HAMSTER 
 Arcade Archives PAC-LAND,HAMSTER 
 Arcade Archives QIX,HAMSTER 
 Arcade Archives ROLLER JAMMER,HAMSTER 
 Arcade Archives ROLLING THUNDER,HAMSTER 
 Arcade Archives ROMPERS,HAMSTER 
 Arcade Archives SPACE SEEKER,HAMSTER 
 Arcade Archives The Genji and the Heike Clans,HAMSTER 
 Arcade Archives THE TOWER OF DRUAGA,HAMSTER 
 Arcade Archives XEVIOUS,HAMSTER 
 Assault Suit Leynos 2 Saturn Tribute,Clear River Games 
 Astral Flux,Mindscape 
 Baseball Club,BoomBit Games 
 Boot Hill Heroes,Experimental Gamer Studios 
 Botany Manor,Whitethorn Games 
 Cats Hidden in Italy,Travellin Cats 
 Chronicles of 2 Heroes: Amaterasu's Wrath,Catness Game 
 Clock Tower: Rewind,WayForward 
Crazy Strike Bowling EX,CORECELL 
 Dadish 2,Thomas K Young 
 Darksiders Genesis,THQ Nordic 
Dead by Daylight,Behaviour Interactive 
 Everdream Valley,Untold Tales 
 Felix the Cat,KONAMI 
 fig.,Take IT Studio! 
 FINAL FANTASY,SQUARE ENIX 
 Flan,AnelaGamesStudio 
 GRID™ Autosport,Codemasters 
 House Builder,Console Labs 
 I Got Isekai'd Into A Shmup,TOMAGameStudio 
 In My Shadow,OverGamez 
 Inferno 2,2Awesome Studio 
 Gang Beasts,Boneloaf 
Jurassic Park Classic Games Collection,Limited Run Games 
 KILL la KILL -IF,ARC SYSTEM WORKS 
 Kosmokrats,Modern Wolf 
 Killing Time: Resurrected,Nightdive Studios 
 Laboratory Rat Escape Simulator Pro,Clockwork Moon 
 Labyrinth of Galleria: The Moon Society,NIS America 
Library Of Ruina,ARC SYSTEM WORKS 
Little Nightmares™ Complete Edition,BANDAI NAMCO Entertainment 
Malignant Survivors,Brain Connected 
Manticore - Galaxy on Fire,PLAION 
 Mega Mall Story 2,Kairosoft 
 Monster Loves You Too!,Radial Games 
 NASCAR Rivals,Motorsport Games 
 NBA 2K18,2K 
 NEKOPARA Vol.2,CFK 
 Nelly Cootalot: The Fowl Fleet,ASHGAMES 
 Neverwinter Nights: Enhanced Edition,Beamdog 
 NieR:Automata The End of YoRHa Edition,SQUARE ENIX 
 Nights of Azure 2: Bride of the New Moon,KOEI TECMO AMERICA 
Nobody Saves the World,DrinkBox Studios 
 Oddworld: Stranger's Wrath,Oddworld Inhabitants 
 OK K.O.! Let’s Play Heroes,Cartoon Network Games 
 Onigo Hunter,KEMCO 
 Palia,Singularity 6 
 Pineview Drive,UIG Entertainment 
 Plants vs. Zombies: Battle for Neighborville™,Electronic Arts 
 Raiden III x MIKADO MANIAX,NIS America 
 Remothered: Tormented Fathers,Stormind Games 
 Rhapsody: Marl Kingdom Chronicles,NIS America 
 RiMS Racing,Nacon 
 River City Girls Zero,WayForward 
 Rocket League®,Epic Games 
 Roller Champions™,Ubisoft 
 Saviors of Sapphire Wings / Stranger of Sword City Revisited,NIS America 
 SENRAN KAGURA Reflexions,Marvelous (XSEED) 
 Skulls of the Shogun: Bone-a-fide Edition,Golem Entertainment 
 Soul Dog TD,Waku Waku Games 
 South of the Circle,11 bit studios 
 South Park™: The Fractured But Whole™,Ubisoft 
 Sportitions'24,FuriouSoftPhoenix 
 STAR WARS™ Episode I: Racer,Aspyr 
 Strania -The Stella Machina- EX,G.rev 
 Super Neptunia RPG,Idea Factory 
 Taiko no Tatsujin: Rhythm Festival,BANDAI NAMCO Entertainment 
 TAITO Milestones,ININ Games 
 The Journey Down Trilogy,BlitWorks 
 The Talos Principle: Deluxe Edition,Devolver Digital 
 Tokyo Xanadu eX+,Aksys Games 
 Touhou Gouyoku Ibun ~Sunken Fossil World,Phoenixx 
 Tricky Towers,WeirdBeard 
 Trip World DX,SUNSOFT 
 Trove,gamigo US 
Trover Saves the Universe,Squanch Games 
 TT Isle of Man: Ride on the Edge 3,Nacon 
UNDER NIGHT IN-BIRTH Exe: Late[cl-r],Aksys Games 
 Undernauts: Labyrinth of Yomi,Aksys Games 
V-Rally 4,Nacon 
 Warface: Clutch,MY.GAMES 
 Warframe,Digital Extremes 
 Warp Shift,Kyrkudden 
 What the Dub?!,Wide Right Interactive 
 Where the Bees Make Honey,Whitethorn Games 
 Wolfenstein II: The New Colossus,Bethesda 
 WRC 9 The Official Game,Nacon 
 YouTube,Google 