title|publisher
 3 out of 10: Season One|Terrible Posture Games
   A Boy and His Blob Retro Collection|Ziggurat
 A Long Way Down|Forever Entertainment
 A Time Traveller's Guide To Past Delicacies|Sometimes You
 Aeon Must Die!|Focus Entertainment
 Aeterna Noctis|Aeternum Game Studios
 Afterdream|Feardemic
 Aidan In Danger|Brainium Games
 Amanda the Adventurer|Dread XP
 Arcade Party|OddOneGames
 Assault Suit Leynos 2 Saturn Tribute|Clear River Games
 Astral Flux|Mindscape
 Bacon Man: An Adventure|Skymap Games
 Bill & Ted's Excellent Retro Collection|Limited Run Games
 Bloodshore|Wales Interactive
 Boot Hill Heroes|Experimental Gamer Studios
 Borderlands 3 Ultimate Edition|Take-Two Interactive
 Botany Manor|Whitethorn Games
 Chickens Madness|Vikong
 Chronicles of 2 Heroes: Amaterasu's Wrath|Catness Game
 CHRONO CROSS: THE RADICAL DREAMERS EDITION|SQUARE ENIX
 Clock Tower: Rewind|WayForward
 Crash Bandicoot N. Sane Trilogy|Activision
 Crypt of the NecroDancer: Nintendo Switch Edition|Brace Yourself Games
 Dark Nights with Poe and Munro|D'Avekki Studios
 DC Universe Online|Daybreak Game Company
 Dragon's Lair Trilogy|Digital Leisure
 Dreamwalker|Code Mystics
 Dust: An Elysian Tail|Humble Hearts
 Escape from Chernobyl|Atypical Games
 fig.|Take IT Studio!
 Flan|AnelaGamesStudio
 Forgotten Memories|Psychose Interactive
 Gang Beasts|Boneloaf
 Gelly Break Deluxe|ByteRockers Games
 GRID Autosport|Codemasters
 GUILTY GEAR XX ACCENT CORE PLUS R|ARC SYSTEM WORKS
 Happy Hotel|Nyakuza Games
 Highrise Heroes: Word Challenge|Fallen Tree Games
 HITMAN 3 - Cloud Version|IO Interactive
 House Builder|Console Labs
 In My Shadow|OverGamez
 Inferno 2|2Awesome Studio
 INSTANT Chef Party|MAXIMUM ENT FRANCE
   Jurassic Park Classic Games Collection|Limited Run Games
 KarmaZoo|Devolver Digital
 KILL la KILL -IF|ARC SYSTEM WORKS
 Killing Time: Resurrected|Nightdive Studios 
Laboratory Rat Escape Simulator Pro|Clockwork Moon
 Labyrinth of Galleria: The Moon Society|NIS America
 Layer Section & Galactic Attack S-Tribute|City Connection
   Library Of Ruina|ARC SYSTEM WORKS
 Malignant Survivors|Brain Connected
 Manticore - Galaxy on Fire|PLAION
 MARVEL vs. CAPCOM Fighting Collection: Arcade Classics|CAPCOM
 Mega Mall Story 2|Kairosoft
 Meganoid|Orange Pixel
 Megaton Rainfall|Pentadimensional
 Mia and me - Magic Friends|TREVA
 Minigolf Adventure|Revulo Games
 MODEL Debut3 #nicola|FURYU Corporation
 Mortal Kombat 1|WB Games
 My Memory of Us|Crunching Koalas
 NASCAR Rivals|Motorsport Games
 NEKOPARA Vol.1|CFK
 NEKOPARA Vol.2|CFK
 Neverwinter Nights: Enhanced Edition|Beamdog
 NieR:Automata The End of YoRHa Edition|SQUARE ENIX
 Ninja Five-O|KONAMI
 Ninjala|GUNGHOONLINE
   Nobody Saves the World|DrinkBox Studios
 Oddworld: Stranger's Wrath|Oddworld Inhabitants
 OK K.O.! Let's Play Heroes|Cartoon Network Games
 Otto|34BigThings
 Overcooked! All You Can Eat|Team17
 Overdriven Reloaded: Special Edition|TOMAGameStudio
 Overwatch 2|Blizzard Entertainment
 Plants vs. Zombies: Battle for Neighborville Complete Edition|Electronic Arts
 Quell Memento|Fallen Tree Games
 Quell Zen|Fallen Tree Games
 Quick Race|SOURCE BYTE
 Radiation City|Atypical Games
 Raiden III x MIKADO MANIAX|NIS America
 Raiden IV x MIKADO remix|UFO Interactive
 Remothered: Tormented Fathers|Soedesco
 Retro Classix 2in1 pack: Bad Dudes & Two Crude Dudes|Golem Entertainment
 RICO|Thunderful Games
 RiffTrax: The Game|Wide Right Interactive
 River City Girls Zero|WayForward
 Roller Champions|Ubisoft
 Root Double -Before Crime * After Days- Xtend Edition|Sekai Games
 Saviors of Sapphire Wings / Stranger of Sword City Revisited|NIS America
 Secret Neighbor|tinyBuild Games
 Skies Above|Flynns Arcade
 SmileBASIC 4|SmileBoom
 Soul Dog TD|Waku Waku Games
 South of the Circle|11 bit studios
 South Park: The Fractured but Whole - Standard Edition|Ubisoft
 STAR WARS Republic Commando|Aspyr
 STAR WARS: Knights of the Old Republic II: The Sith Lords|Aspyr
 Stranded Sails - Explorers of the Cursed Islands|Rokaplay
 Strania -The Stella Machina- EX|G.rev
 Stumble Guys|Scopely
 Super Mega Baseball 4|Electronic Arts
 The Final Station|tinyBuild Games
 The Mean Greens - Plastic Warfare|Virtual Basement
 The Wild Case|Maxim Ryadchik
 They Bleed Pixels|Spooky Squid Games Incorporated
 This War of Mine: Complete Edition|11 bit studios
 Timespinner|Lunar Ray Games
 Tiny Lands|naptime.games
 Tokyo Xanadu eX+|Aksys Games
 Tomba! Special Edition|Limited Run Games
 Tony Hawk's Pro Skater 1 + 2|Activision
 Touhou Genso Wanderer Reloaded|NIS America
 Touhou Gouyoku Ibun ~ Sunken Fossil World.|Phoenixx
 Trenga Unlimited|Flux Games
 Trip World DX|SUNSOFT
 Trove|gamigo US
   Trover Saves the Universe|Squanch Games
 TT Isle of Man: Ride on the Edge 3|Nacon
 TY the Tasmanian Tiger HD|Krome Studios
 Uncle Chop's Rocket Shop|Kasedo Games
 Warface: Clutch|MY.GAMES
 Warframe|Digital Extremes
 Warp Shift|Kyrkudden
 WARRIORS: Abyss|KOEI TECMO AMERICA
 What the Dub?!|Wide Right Interactive
 Where the Bees Make Honey|Whitethorn Games
 Wild Seas|Afil Games
 Wildfire|Humble Games
 WRC 8 FIA World Rally Championship|Nacon
 WRC 9 The Official Game|Nacon
 Yomawari: Lost in the Dark|NIS America
 YouTube|Google
 ZikSquare|TOMAGameStudio